Date,Active Device Installs,Notes
2022-03-10,1312,
2022-03-11,1311,
2022-03-12,1297,
2022-03-13,1300,
2022-03-14,1308,
2022-03-15,1298,
2022-03-16,1298,
2022-03-17,1291,
2022-03-18,1272,
2022-03-19,1322,
2022-03-20,1312,
2022-03-21,1304,
2022-03-22,1340,
2022-03-23,1306,
2022-03-24,1329,
2022-03-25,1339,
2022-03-26,1326,
2022-03-27,1369,
2022-03-28,1348,
2022-03-29,1341,
2022-03-30,1344,
2022-03-31,1370,
2022-04-01,1352,
2022-04-02,1376,
2022-04-03,1376,
2022-04-04,1375,
2022-04-05,1372,
2022-04-06,1384,
2022-04-07,1387,
2022-04-08,1383,
2022-04-09,1391,
2022-04-10,1381,
2022-04-11,1373,
2022-04-12,1398,
2022-04-13,1401,
2022-04-14,1396,
2022-04-15,1404,
2022-04-16,1407,
2022-04-17,1366,
2022-04-18,1392,
2022-04-19,1365,
2022-04-20,1407,
2022-04-21,1383,"Change in reporting data: We made improvements to how installs, uninstalls, updates, and device activity are counted, including how we count users who have removed install activity for privacy reasons."
2022-04-22,1379,
2022-04-23,1364,
2022-04-24,1391,
2022-04-25,1362,
2022-04-26,1361,
2022-04-27,1356,
2022-04-28,1387,
2022-04-29,1390,
2022-04-30,1400,
2022-05-01,1369,
2022-05-02,1376,
2022-05-03,1389,
2022-05-04,1368,
2022-05-05,1386,
2022-05-06,1393,
2022-05-07,1395,
2022-05-08,1374,
2022-05-09,1385,
2022-05-10,1384,
2022-05-11,1392,
2022-05-12,1404,
2022-05-13,1405,
2022-05-14,1381,
2022-05-15,1381,
2022-05-16,1398,
2022-05-17,1404,
2022-05-18,1398,
2022-05-19,1402,
2022-05-20,1390,
2022-05-21,1405,
2022-05-22,1394,
2022-05-23,1395,
2022-05-24,1395,
2022-05-25,1382,
2022-05-26,1388,
2022-05-27,1377,
2022-05-28,1383,
2022-05-29,1368,
2022-05-30,1378,
2022-05-31,1388,
2022-06-01,1396,
2022-06-02,1393,
2022-06-03,1394,
2022-06-04,1400,
2022-06-05,1373,
2022-06-06,1403,
2022-06-07,1387,
2022-06-08,1409,
2022-06-09,1385,
2022-06-10,1402,
2022-06-11,1405,
2022-06-12,1391,
2022-06-13,1410,
2022-06-14,1421,
2022-06-15,1427,
2022-06-16,1436,
2022-06-17,1420,
2022-06-18,1432,
2022-06-19,1422,
2022-06-20,1427,
2022-06-21,1412,
2022-06-22,1423,
2022-06-23,1434,
2022-06-24,1447,
2022-06-25,1425,
2022-06-26,1465,
2022-06-27,1483,
2022-06-28,1484,
2022-06-29,1506,
2022-06-30,1480,
2022-07-01,1492,
2022-07-02,1490,
2022-07-03,1471,
2022-07-04,1477,
2022-07-05,1487,
2022-07-06,1464,
2022-07-07,1443,
2022-07-08,1450,
2022-07-09,1442,
2022-07-10,1426,
2022-07-11,1409,
2022-07-12,1392,
2022-07-13,1391,
2022-07-14,1382,
2022-07-15,1375,
2022-07-16,1377,
2022-07-17,1372,
2022-07-18,1372,
2022-07-19,1373,
2022-07-20,1562,
2022-07-21,1573,
2022-07-22,1562,
2022-07-23,1551,
2022-07-24,1545,
2022-07-25,1576,
2022-07-26,1586,
2022-07-27,1568,
2022-07-28,1552,
2022-07-29,1538,
2022-07-30,1553,
2022-07-31,1548,
2022-08-01,1552,
2022-08-02,1544,
2022-08-03,1557,
2022-08-04,1546,
